time(s),center_temperature(°C)
0.0,25.0
0.5,25.0
1.0,25.0
1.5,25.0
2.0,25.0
2.5,25.0
3.0,25.0
3.5,25.0
4.0,25.0
4.5,25.0
5.0,25.0
5.5,25.0
6.0,25.0
6.5,25.0
7.0,25.0
7.5,25.0
8.0,25.0
8.5,25.0
9.0,25.0
9.5,25.0
10.0,25.0
10.5,25.0
11.0,25.0
11.5,25.0
12.0,25.0
12.5,25.0
13.0,25.0
13.5,25.0
14.0,25.0
14.5,25.0
15.0,25.0
15.5,25.0
16.0,25.0
16.5,25.0
17.0,25.0
17.5,25.0
18.0,25.000000008367667
18.5,25.00000001865068
19.0,25.00000003084903
19.5,25.218033915817735
20.0,26.278154172165287
20.5,27.831488295716618
21.0,29.368767958613912
21.5,30.89015766506935
22.0,32.39545848585541
22.5,33.88412503671734
23.0,35.35741202250432
23.5,36.81547697650694
24.0,38.25847582992735
24.5,39.686562928073165
25.0,41.09989104638872
25.5,42.498611406325026
26.0,43.88287369105011
26.5,45.2521675945528
27.0,46.60665829366723
27.5,47.947155300927015
28.0,49.273801956734815
28.5,50.58674014372147
29.0,51.8861103014814
29.5,53.17205144116001
30.0,54.444701159894116
30.5,55.70419565510747
31.0,56.94977084551931
31.5,58.18217910145414
32.0,59.401854656469645
32.5,60.60892793677686
33.0,61.803528042131624
33.5,62.98578275924287
34.0,64.15581857504598
34.5,65.31376068984278
35.0,66.4597330303094
35.5,67.59276750046826
36.0,68.7140967367535
36.5,69.82384063397038
37.0,70.92211786763207
37.5,72.00904590628423
38.0,73.08474102370548
38.5,74.1493183109854
39.0,75.20289168848095
39.5,76.245323396263
40.0,77.27623575178984
40.5,78.29649764724606
41.0,79.30621817557504
41.5,80.30550532026223
42.0,81.29446596654971
42.5,82.27320591253788
43.0,83.24182988017549
43.5,84.2004415261392
44.0,85.14868745982474
44.5,86.08668206738461
45.0,87.01498594210439
45.5,87.93369834824982
46.0,88.84291754056919
46.5,89.74274077449753
47.0,90.63326431625869
47.5,91.5145834528653
48.0,92.38679250201851
48.5,93.249362331904
49.0,94.10281396441424
49.5,94.94744810942915
50.0,95.78335508804332
50.5,96.61062430277167
51.0,97.42934424683446
51.5,98.23960251334951
52.0,99.04148580443155
52.5,99.83507994020022
53.0,100.61971450718788
53.5,101.39624311504207
54.0,102.16474879178276
54.5,102.92531372106133
55.0,103.6780192506954
55.5,104.4229459011178
56.0,105.16017337374062
56.5,105.88978055923522
57.0,106.61167205785405
57.5,107.32558632170485
58.0,108.03212506491103
58.5,108.73136383512502
59.0,109.4233774116917
59.5,110.10823981341441
60.0,110.78602430624304
60.5,111.45680341088462
61.0,112.1206489103376
61.5,112.77731607905211
62.0,113.42688413026623
62.5,114.06974127888554
63.0,114.7059562661322
63.5,115.3355971341301
64.0,115.95873123297163
64.5,116.57542522771314
65.0,117.18574510530017
65.5,117.78975618142313
66.0,118.38709202847281
66.5,118.97811345787883
67.0,119.5630287134084
67.5,120.14190034307288
68.0,120.7147902587606
68.5,121.2817597426668
69.0,121.84286945365915
69.5,122.39817943357934
70.0,122.94774911348105
70.5,123.49111422718813
71.0,124.02886590555656
71.5,124.56106164609078
72.0,125.08775836156391
72.5,125.60901238592811
73.0,126.12487948016559
73.5,126.63541483808082
74.0,127.14067309203435
74.5,127.64058817701094
75.0,128.1349789692031
75.5,128.62426215999417
76.0,129.10849006667993
76.5,129.58771447449766
77.0,130.06198664200417
77.5,130.53135730639968
78.0,130.99587668879855
78.5,131.4555944994464
79.0,131.91034126412964
79.5,132.36017183858863
80.0,132.80535506445386
80.5,133.24593854551895
81.0,133.6819694014469
81.5,134.11349427266393
82.0,134.54055932520382
82.5,134.96321025550367
83.0,135.38149229515165
83.5,135.79515169037754
84.0,136.20443830570653
84.5,136.60949635145386
85.0,137.01036914256989
85.5,137.40709955348512
86.0,137.79973002256304
86.5,138.1883025565084
87.0,138.57285873473086
87.5,138.95343971366503
88.0,139.32972398562544
88.5,139.70212091300604
89.0,140.07067031324468
89.5,140.4354115988484
90.0,140.79638378148658
90.5,141.15362547604283
91.0,141.507174904626
91.5,141.85706990054098
92.0,142.2032647132868
92.5,142.54563391331652
93.0,142.88446606242744
93.5,143.2197973907254
94.0,143.55166375986178
94.5,143.88010066675798
95.0,144.20514324729226
95.5,144.5268262799495
96.0,144.8451841894345
96.5,145.1600996136283
97.0,145.47161054052793
97.5,145.77990314490734
98.0,146.08501039273798
98.5,146.38696491472734
99.0,146.685799009708
99.5,146.98154464799222
100.0,147.27423347469338
100.5,147.56389681301337
101.0,147.8503589366308
101.5,148.1337928785368
102.0,148.4142985054179
102.5,148.69190581319057
103.0,148.96664449270813
103.5,149.2385439328443
104.0,149.50763322354587
104.5,149.7739411588549
105.0,150.03749623990018
105.5,150.29807582028357
106.0,150.55596338642428
106.5,150.8111865121861
107.0,151.06377249101521
107.5,151.3137483387749
108.0,151.5611407965514
108.5,151.80597633343157
109.0,152.04828114925277
109.5,152.28802356146207
110.0,152.5251167091909
110.5,152.75976042357135
111.0,152.99197979421373
111.5,153.22179965557117
112.0,153.44924458951843
112.5,153.6743389279054
113.0,153.8971067550845
113.5,154.1175719104128
114.0,154.33565311977387
114.5,154.55137669013052
115.0,154.76487154886047
115.5,154.97616052513746
116.0,155.18526621596246
116.5,155.39221098851064
117.0,155.5970169824546
117.5,155.79970611226418
118.0,156.0003000694834
118.5,156.1986771623634
119.0,156.39495721750228
119.5,156.5892093933029
120.0,156.78145446215441
120.5,156.9717129851875
121.0,157.16000531440983
121.5,157.34635159482005
122.0,157.53077176650052
122.5,157.71328556668908
123.0,157.89373881114446
123.5,158.0723278162627
124.0,158.2490716771439
124.5,158.42398929469698
125.0,158.59709937760277
125.5,158.76842044425686
126.0,158.93797082469342
126.5,159.1057686624893
127.0,159.2717920172475
127.5,159.4359807371881
128.0,159.59847320681564
128.5,159.75928680086685
129.0,159.9184387173801
129.5,160.07594597948153
130.0,160.23182543715316
130.5,160.3860937689833
131.0,160.53876748389916
131.5,160.6897902989872
132.0,160.83918043200944
132.5,160.98702716610762
133.0,161.13334631064976
133.5,161.2781535142224
134.0,161.4214642662562
134.5,161.5632938986346
135.0,161.70365758728656
135.5,161.84257035376308
136.0,161.97994792564785
136.5,162.11587328372687
137.0,162.25039432069443
137.5,162.38352542158023
138.0,162.51528082511606
138.5,162.6456746252144
139.0,162.77472077243263
139.5,162.90243307542198
140.0,163.02882520236244
140.5,163.15379037955154
141.0,163.2774645575137
141.5,163.39986095974388
142.0,163.52099267525827
142.5,163.64087265995363
143.0,163.75951373795291
143.5,163.87692860293737
144.0,163.9931298194652
144.5,164.10810219365277
145.0,164.2218040699574
145.5,164.33433128064948
146.0,164.44569585785993
146.5,164.55590971135473
147.0,164.66498462977185
147.5,164.77293228184575
148.0,164.8797642176195
148.5,164.9854918696446
149.0,165.09007626159627
149.5,165.19353000940652
150.0,165.2959149422969
150.5,165.397242008369
151.0,165.49752204438238
151.5,165.59676577687972
152.0,165.69498382330124
152.5,165.85289628402657
153.0,165.93529259733197
153.5,166.01709093106817
154.0,166.11293214387976
154.5,166.2224211373054
155.0,166.34548416922166
155.5,166.48204789308448
156.0,166.63203935581987
156.5,166.7871715171058
157.0,167.05144663150514
157.5,167.34142594605618
158.0,167.62815405875747
158.5,167.91194049457408
159.0,168.19281517632882
159.5,168.47080772464255
160.0,168.74594746096807
160.5,169.0182634105931
161.0,169.2877843056136
161.5,169.5545385878773
162.0,169.81849141627626
162.5,170.07954760281598
163.0,170.33792543357646
163.5,170.59365215337004
164.0,170.84675473184942
164.5,171.0972598662695
165.0,171.34519398422208
165.5,171.59058324634304
166.0,171.83345354899248
166.5,172.07371578874682
167.0,172.31139854679148
167.5,172.54664269936595
168.0,172.7794730529458
168.5,173.00991416346918
169.0,173.23799033885152
169.5,173.46372564147546
170.0,173.68714389065593
170.5,173.90826866508039
171.0,174.12696656997898
171.5,174.34336860584082
172.0,174.55755032563957
172.5,174.76953431573781
173.0,174.9793429343794
173.5,175.1869983139795
174.0,175.3925223633916
174.5,175.59593677015198
175.0,175.79726300270175
175.5,175.99633199762522
176.0,176.19335865126828
176.5,176.3883637383858
177.0,176.58136782392057
177.5,176.77239126510958
178.0,176.96145421356889
178.5,177.14857661735806
179.0,177.3337782230237
179.5,177.51393737854943
180.0,177.57196959611738
180.5,177.61385768580863
181.0,177.66402010675063
181.5,177.7224437003854
182.0,177.78911532892965
